metal_type,concentration,latitude,longitude,timestamp
As,10.15,75.5853,-15.2909,2025-07-22T15:26:00Z
Pb,13.87,36.0757,117.186,2025-10-19T04:10:00Z
Cr,65.03,55.3548,67.5586,2025-07-25T10:43:00Z
Hg,0.16,-55.2081,-33.0593,2025-01-06T20:56:00Z
Cr,55.25,66.6774,-144.158,2025-08-17T19:44:00Z
Cr,20.44,-85.339,-157.108,2025-03-23T07:39:00Z
Hg,1.73,-25.3376,112.8134,2025-12-14T13:51:00Z
As,12.2,74.4524,162.1339,2025-04-03T18:29:00Z
Cr,64.23,23.565,-136.6116,2025-12-18T04:54:00Z
Pb,9.41,-50.0938,-118.8972,2025-10-05T03:50:00Z
Cr,22.27,-59.8702,157.1654,2025-01-04T14:14:00Z
As,13.39,-77.3146,-24.2147,2025-07-31T18:08:00Z
Hg,6.26,75.2573,57.994,2025-06-25T03:39:00Z
As,19.38,-66.7231,6.4047,2025-12-29T16:49:00Z
Hg,4.18,-52.8583,151.247,2025-12-17T15:12:00Z
Hg,3.67,35.4687,-122.563,2025-12-09T14:38:00Z
Cd,7.45,42.8919,99.6691,2025-09-12T04:44:00Z
Hg,5.8,48.6258,-156.3778,2025-02-26T09:28:00Z
Cd,9.18,4.5225,-52.1366,2025-09-19T08:59:00Z
As,17.42,-77.0733,-66.1162,2025-06-14T14:53:00Z
Cr,18.07,-42.2753,137.631,2025-04-12T10:07:00Z
Cr,39.22,-61.9391,-62.8527,2025-02-14T08:44:00Z
Cr,53.2,-28.011,-39.9408,2025-08-19T15:14:00Z
Cr,12.75,36.9908,-11.5938,2025-09-24T15:00:00Z
Cr,25.69,-44.6612,-64.053,2025-04-28T01:33:00Z
Hg,0.75,-48.1482,-33.2541,2025-03-23T12:36:00Z
Cr,29.43,13.0031,145.0261,2025-06-01T21:58:00Z
Cr,79.15,-26.6147,-44.7047,2025-03-05T06:57:00Z
Cr,98.02,-25.3648,87.9078,2025-05-17T04:30:00Z
As,8.14,57.0973,164.4118,2025-07-24T16:06:00Z
Cd,3.98,-78.3813,-49.4432,2025-06-23T04:18:00Z
As,6.08,-54.3742,-134.6653,2025-01-15T08:14:00Z
As,19.68,-39.7651,-82.2441,2025-07-22T16:12:00Z
Cr,27.52,-68.7439,60.8099,2025-06-09T00:38:00Z
Cr,32.25,-80.3952,102.1913,2025-05-31T16:33:00Z
Cr,99.75,-83.6157,-50.3902,2025-01-11T15:26:00Z
As,7.43,-17.2977,-66.4076,2025-11-04T09:57:00Z
Cr,83.31,33.0252,116.3176,2025-02-27T00:16:00Z
Hg,1.49,-60.0321,129.8048,2025-03-01T07:37:00Z
Hg,8.63,18.1466,31.7934,2025-10-03T07:11:00Z
Cr,85.51,-13.8173,176.6629,2025-06-06T10:23:00Z
Cd,2.03,19.2664,84.6001,2025-07-05T02:11:00Z
Cr,12.1,33.2387,-161.8748,2025-03-22T23:49:00Z
Pb,25.03,74.8452,-65.1991,2025-07-06T13:09:00Z
Cr,19.76,5.6039,92.0488,2025-12-08T17:31:00Z
Cr,61.64,53.0795,171.6824,2025-10-20T20:30:00Z
Cd,3.88,76.7217,42.9766,2025-12-11T04:43:00Z
Cd,0.71,78.1295,133.312,2025-01-02T05:10:00Z
Cd,3.3,85.0802,-3.615,2025-09-16T16:50:00Z
Pb,19.65,-77.3495,97.739,2025-08-19T23:21:00Z
Hg,7.41,28.2537,67.0146,2025-08-19T18:44:00Z
Hg,7.13,-41.0169,-139.5221,2025-10-19T02:13:00Z
Cr,72.44,76.9322,-154.8161,2025-12-30T18:18:00Z
Pb,16.71,-4.7366,-153.0657,2025-12-24T02:10:00Z
As,19.35,-80.8168,136.0699,2025-03-10T20:52:00Z
As,4.79,17.0434,100.9778,2025-04-17T08:32:00Z
Pb,3.5,29.5601,-47.4262,2025-03-01T02:58:00Z
Cd,1.62,20.0689,-102.7411,2025-05-05T17:28:00Z
Cd,8.51,-12.8087,155.5079,2025-07-18T10:25:00Z
Pb,10.9,3.6646,132.2505,2025-10-16T15:27:00Z
Cd,1.03,-80.1645,-115.3159,2025-01-30T22:34:00Z
Pb,31.43,-88.024,-17.4162,2025-03-10T04:57:00Z
Cd,1.08,76.2844,-52.7996,2025-07-02T18:12:00Z
Pb,20.0,72.3506,-171.4862,2025-04-13T14:59:00Z
Hg,7.51,-52.637,7.3505,2025-10-23T15:28:00Z
As,11.93,74.714,136.1681,2025-02-24T05:09:00Z
As,13.76,86.7016,101.6203,2025-04-03T16:54:00Z
Hg,6.29,89.0363,96.8272,2025-03-26T19:15:00Z
Cd,6.37,-62.706,-21.3452,2025-07-14T11:47:00Z
Cr,21.18,-24.3672,-48.0417,2025-12-06T19:38:00Z
Cd,2.1,-42.7415,-45.6015,2025-09-21T07:31:00Z
Cd,1.33,-89.9025,-18.5949,2025-03-09T10:27:00Z
Cr,60.96,-21.222,-143.7736,2025-05-12T05:44:00Z
Cr,70.28,-32.6897,-170.0434,2025-07-09T18:21:00Z
Cd,4.7,64.0063,135.829,2025-08-08T12:34:00Z
Hg,2.01,-20.7143,-80.847,2025-10-09T21:31:00Z
Cr,43.53,81.1071,159.6171,2025-11-06T19:50:00Z
Pb,5.51,-62.654,135.4007,2025-08-02T12:22:00Z
Hg,9.0,-30.8351,-54.5664,2025-05-17T00:55:00Z
As,4.24,-12.4661,81.0236,2025-08-03T19:56:00Z
Pb,49.69,-82.2571,35.2836,2025-09-03T14:01:00Z
Hg,4.91,-23.8501,76.2213,2025-01-27T23:30:00Z
Cr,34.65,30.156,-157.7248,2025-12-10T23:54:00Z
As,11.51,49.3923,-177.1593,2025-03-25T22:41:00Z
Pb,46.9,27.0585,-32.8908,2025-08-22T13:27:00Z
Cd,3.43,69.8882,159.5013,2025-04-16T11:55:00Z
As,13.21,-16.4723,123.1364,2025-03-17T13:33:00Z
Hg,5.68,88.9145,22.5001,2025-03-11T02:39:00Z
As,3.56,24.8139,-108.6736,2025-12-22T09:11:00Z
Pb,39.79,-37.2942,142.9395,2025-11-16T02:41:00Z
Cr,66.12,-16.9743,-154.4188,2025-04-19T04:02:00Z
Hg,3.02,30.3911,-165.5938,2025-02-02T15:46:00Z
Cr,84.88,26.6793,-150.1952,2025-05-03T12:44:00Z
Cd,6.91,-72.5814,57.9198,2025-11-09T05:29:00Z
Pb,34.25,-15.2763,56.9767,2025-06-12T21:11:00Z
Pb,25.02,-84.3717,-73.933,2025-09-28T10:27:00Z
As,10.62,16.254,60.4032,2025-04-10T05:06:00Z
Cr,63.11,-31.0473,74.4974,2025-03-23T09:35:00Z
Pb,26.97,25.3963,-141.181,2025-09-01T00:22:00Z
Pb,23.41,-50.0469,-115.0491,2025-03-23T21:00:00Z
Cd,0.93,20.6974,76.0697,2025-11-01T22:32:00Z
Hg,1.57,67.7862,-178.8493,2025-01-19T04:51:00Z
Cr,90.66,-1.8256,131.9745,2025-02-07T08:54:00Z
Cd,8.58,15.9232,89.4501,2025-02-16T17:12:00Z
Cr,59.65,60.4347,-117.3407,2025-03-13T16:54:00Z
Cd,4.34,-43.2581,-69.5923,2025-05-24T02:36:00Z
Hg,2.98,-81.211,-37.9046,2025-07-13T00:13:00Z
As,12.22,40.7375,-157.7036,2025-09-09T18:38:00Z
As,17.44,69.1609,68.8713,2025-06-30T12:53:00Z
Cr,67.45,86.9199,29.6993,2025-07-16T19:45:00Z
Hg,8.8,2.9456,-21.0775,2025-06-18T07:47:00Z
Cd,3.78,-52.4131,124.6813,2025-09-04T10:54:00Z
As,6.28,-65.4576,57.6136,2025-01-21T21:26:00Z
Pb,3.96,-51.0562,-67.2148,2025-03-08T01:28:00Z
Cr,23.18,45.9826,25.0797,2025-05-28T17:44:00Z
Cr,32.11,-17.6453,151.6956,2025-12-15T22:20:00Z
As,18.55,-88.9761,-170.241,2025-01-18T16:57:00Z
Cr,92.89,0.5278,-164.5975,2025-05-01T04:51:00Z
Cd,1.68,1.8451,-41.8044,2025-07-28T06:29:00Z
Hg,3.74,31.7975,152.3705,2025-04-28T22:21:00Z
Pb,4.6,-89.0977,98.7884,2025-04-13T08:16:00Z
Cd,9.42,22.744,-91.2703,2025-01-09T10:43:00Z
Cd,3.18,60.3785,29.0825,2025-12-09T02:30:00Z
Pb,49.88,-7.1358,-90.9059,2025-07-15T08:28:00Z
Hg,3.44,-9.9488,-82.9102,2025-07-07T22:08:00Z
Cr,7.31,-38.3844,-138.0421,2025-07-30T02:06:00Z
Cd,1.14,28.7627,-107.703,2025-05-16T11:31:00Z
Cr,18.15,52.5479,108.4825,2025-12-01T17:13:00Z
Cd,2.64,8.0801,14.9389,2025-11-20T10:22:00Z
Pb,32.02,-88.1259,-9.4539,2025-05-05T12:38:00Z
Hg,9.07,19.701,112.2153,2025-08-26T03:46:00Z
As,3.85,46.7689,79.7473,2025-02-13T16:54:00Z
Pb,43.1,9.6873,113.8342,2025-05-31T05:44:00Z
Pb,34.74,60.8073,-115.105,2025-02-09T09:09:00Z
As,9.47,65.013,-115.5656,2025-10-03T16:13:00Z
As,3.4,18.7503,-83.149,2025-09-02T09:54:00Z
Pb,29.87,83.5232,-79.2529,2025-01-09T16:33:00Z
Pb,2.42,55.3242,-11.8462,2025-08-29T20:21:00Z
Pb,32.6,42.1527,-145.1711,2025-12-22T10:48:00Z
Pb,1.96,-7.0847,29.486,2025-03-31T07:04:00Z
Hg,3.07,-51.055,-88.2396,2025-01-16T01:35:00Z
As,3.44,-78.9659,-110.5212,2025-03-06T12:18:00Z
Pb,19.06,78.688,-121.6745,2025-09-02T20:00:00Z
Hg,9.59,85.071,4.1195,2025-09-17T09:49:00Z
Cr,70.38,-19.3352,130.5005,2025-01-02T20:56:00Z
As,14.36,8.4167,168.5834,2025-06-26T14:53:00Z
Cd,3.1,-52.9421,-111.4035,2025-07-27T00:49:00Z
As,13.88,-39.2517,-123.1832,2025-04-23T21:37:00Z
As,7.16,60.1708,106.7192,2025-09-23T20:15:00Z
Hg,5.82,-79.7719,130.5598,2025-12-12T04:40:00Z
Pb,20.56,-85.252,24.8953,2025-02-23T08:53:00Z
Pb,11.6,-33.4024,-3.959,2025-08-02T23:49:00Z
Cr,49.84,-3.646,-134.9504,2025-06-18T08:13:00Z
Cr,73.29,57.2665,173.9453,2025-01-13T16:57:00Z
Hg,8.77,27.6841,-64.213,2025-04-13T12:53:00Z
Pb,16.75,58.7493,118.4437,2025-04-19T08:06:00Z
Hg,7.28,10.5089,29.8986,2025-10-15T11:42:00Z
As,1.25,-56.6125,142.1925,2025-02-01T23:36:00Z
Cd,5.27,-77.5903,-65.6249,2025-08-19T20:20:00Z
Hg,3.02,-38.2689,-48.8934,2025-01-24T19:18:00Z
Cr,9.93,-85.1369,-60.6848,2025-07-21T14:50:00Z
Pb,24.53,5.5048,173.414,2025-02-23T20:28:00Z
Cr,78.42,15.7015,-163.7835,2025-08-12T07:37:00Z
As,9.02,8.6173,-151.1542,2025-06-06T09:19:00Z
Pb,3.46,45.6744,22.9947,2025-10-18T01:34:00Z
Hg,2.59,-33.5479,129.6107,2025-08-13T21:22:00Z
Cd,0.54,-48.2096,-140.9724,2025-07-31T00:18:00Z
Cr,47.28,-73.9936,-63.4635,2025-08-08T19:17:00Z
Pb,27.51,-63.3017,-104.4165,2025-12-23T18:27:00Z
Hg,4.79,56.3302,-6.6308,2025-08-23T22:04:00Z
Hg,2.27,27.7964,-31.5287,2025-11-05T06:44:00Z
Cr,47.76,-15.2715,-27.5869,2025-06-17T07:06:00Z
Cr,98.58,-23.5481,147.0934,2025-03-01T14:22:00Z
Cr,52.02,-42.5619,-59.1594,2025-12-11T20:52:00Z
Cd,0.97,83.98,145.3513,2025-05-14T11:37:00Z
Cd,3.88,70.4092,-157.591,2025-12-21T23:08:00Z
Hg,2.03,69.0969,-133.0785,2025-11-18T00:02:00Z
As,2.09,-68.4944,-35.6044,2025-07-01T21:39:00Z
Hg,5.33,-70.2969,-112.0393,2025-06-20T09:58:00Z
Cd,7.41,-29.1366,94.7768,2025-01-29T12:48:00Z
Cd,6.49,-41.0207,-101.6467,2025-06-25T17:17:00Z
Cr,35.19,-46.6798,-19.0721,2025-04-24T03:31:00Z
Hg,4.73,18.7754,24.5222,2025-11-24T22:38:00Z
Pb,14.89,49.3995,122.7028,2025-11-26T03:53:00Z
As,7.31,-33.3631,172.6902,2025-09-12T16:02:00Z
Hg,0.95,-38.4388,151.277,2025-04-11T22:15:00Z
Pb,21.13,3.4924,163.0408,2025-07-01T02:02:00Z
As,2.42,-39.6077,101.2896,2025-02-25T17:35:00Z
Pb,42.13,67.3669,-125.0201,2025-05-03T12:00:00Z
Hg,4.84,-42.8503,5.4848,2025-07-02T01:49:00Z
Cr,15.29,25.358,168.7043,2025-02-01T21:08:00Z
Hg,8.21,-23.8223,88.7711,2025-07-18T15:47:00Z
Cr,21.48,-61.735,-22.1575,2025-03-01T18:40:00Z
Cr,88.86,25.2933,109.2015,2025-02-18T03:58:00Z
Hg,9.05,-38.7867,63.0476,2025-01-03T09:26:00Z
Hg,3.77,-32.4916,77.9768,2025-04-24T07:58:00Z
Cd,6.49,71.1531,-15.4688,2025-08-18T12:03:00Z
Hg,8.64,23.1023,-159.0063,2025-07-08T15:07:00Z
Cr,19.9,49.9654,-64.7496,2025-11-06T20:43:00Z
As,16.66,-15.5008,5.206,2025-07-19T14:41:00Z
As,13.77,-63.421,-17.8716,2025-10-17T23:54:00Z
As,9.26,-65.2158,-154.8848,2025-10-17T07:29:00Z
Cr,31.72,86.4643,66.0775,2025-06-11T03:42:00Z
Cr,6.61,-70.5852,20.7731,2025-12-30T05:30:00Z
As,10.84,-11.3664,-132.1289,2025-04-01T11:07:00Z
Cd,3.45,-21.83,-127.0599,2025-04-27T20:08:00Z
Cd,4.09,9.7231,-119.4451,2025-07-16T14:56:00Z
Pb,5.73,-31.8721,-44.748,2025-10-22T11:47:00Z
As,11.61,-42.3363,-96.2104,2025-05-10T02:06:00Z
As,18.31,-37.3551,86.2715,2025-02-12T12:46:00Z
Cr,99.39,-37.258,-76.1209,2025-10-13T17:20:00Z
As,1.86,52.6484,173.3259,2025-09-02T14:22:00Z
Pb,40.15,-16.3316,33.2368,2025-12-04T08:29:00Z
As,10.9,37.7019,-149.0359,2025-01-12T01:46:00Z
Cd,9.45,27.3218,10.21,2025-09-30T09:30:00Z
Pb,25.9,-1.683,-69.3902,2025-09-10T15:19:00Z
Cr,67.75,59.7897,-84.0543,2025-05-15T06:14:00Z
Cd,3.38,-16.8407,-88.2975,2025-06-28T21:18:00Z
Pb,2.59,-46.4373,91.5092,2025-06-18T19:37:00Z
Cd,3.16,-69.6192,78.573,2025-05-16T16:41:00Z
Hg,1.1,59.7037,-58.4364,2025-04-25T04:54:00Z
Hg,1.55,-58.4396,-2.4916,2025-06-08T01:18:00Z
Pb,49.14,-35.8649,86.0416,2025-03-29T09:08:00Z
Hg,8.49,87.2121,-150.7415,2025-08-31T23:35:00Z
Pb,44.67,11.9258,83.4081,2025-05-18T16:54:00Z
As,17.64,-53.0942,137.3325,2025-01-15T21:06:00Z
Hg,5.31,28.6895,-26.7305,2025-12-30T06:02:00Z
Cr,26.4,-64.6446,99.6119,2025-04-30T14:25:00Z
Cd,1.61,60.4325,-55.9336,2025-02-11T17:09:00Z
Pb,28.46,-10.3666,-40.7041,2025-11-02T02:02:00Z
Pb,13.41,-34.8046,-1.9495,2025-10-30T12:34:00Z
Pb,32.09,72.5079,111.6834,2025-05-25T19:14:00Z
Pb,48.93,68.9575,-81.7838,2025-07-08T21:18:00Z
Cr,72.86,-52.8661,-42.7138,2025-05-07T10:23:00Z
As,13.94,31.8394,-147.3492,2025-12-10T06:20:00Z
As,10.98,80.2934,-5.1115,2025-08-27T06:59:00Z
Cd,0.47,39.1881,-77.1016,2025-01-26T14:33:00Z
Hg,3.13,-18.9439,162.3073,2025-11-05T08:52:00Z
Cr,9.89,-15.494,156.5316,2025-08-01T21:33:00Z
Pb,8.57,47.2521,109.5627,2025-12-24T06:28:00Z
Cr,67.95,-28.2656,143.6578,2025-01-28T06:19:00Z
As,4.65,51.1855,-96.051,2025-11-07T04:36:00Z
Cr,49.67,-3.8701,-160.9507,2025-03-25T19:08:00Z
Cr,50.44,12.7297,36.739,2025-09-26T20:47:00Z
As,12.96,-11.503,34.2521,2025-08-02T14:35:00Z
Pb,23.96,10.9343,49.957,2025-06-10T03:34:00Z
Pb,32.9,-82.6505,-178.9709,2025-08-09T03:26:00Z
Cr,99.29,88.2974,-98.6238,2025-12-31T00:51:00Z
Cr,68.59,-35.2123,-103.8699,2025-11-06T12:49:00Z
Cd,1.01,32.295,111.0867,2025-06-21T04:08:00Z
Hg,1.07,-9.7801,80.097,2025-02-02T01:09:00Z
As,2.83,71.2755,-106.7411,2025-04-21T21:45:00Z
Hg,2.03,-31.3743,100.9364,2025-07-09T02:18:00Z
Cr,86.93,-61.0497,-144.8933,2025-10-15T04:27:00Z
Hg,8.46,36.5706,-136.6398,2025-04-05T12:16:00Z
Pb,2.17,-58.7677,-24.7163,2025-01-26T07:50:00Z
As,17.6,-38.4915,17.5315,2025-10-14T12:52:00Z
Cd,2.35,-7.7342,-29.2438,2025-10-16T08:46:00Z
Pb,26.92,-36.9351,35.2631,2025-12-25T06:15:00Z
As,14.26,77.4911,-79.9002,2025-08-03T13:41:00Z
Hg,5.8,-34.239,-81.2897,2025-08-31T03:18:00Z
Hg,1.98,-46.9147,-111.4311,2025-04-14T10:55:00Z
As,6.07,-36.0298,-97.2981,2025-05-15T01:52:00Z
As,6.59,-9.9953,-25.3859,2025-11-14T01:32:00Z
Hg,8.67,71.0129,172.5572,2025-10-19T09:22:00Z
Hg,7.85,-83.9909,-178.7305,2025-12-25T14:38:00Z
Hg,6.61,54.2755,-33.0648,2025-10-25T14:19:00Z
Pb,40.01,33.399,163.9228,2025-02-03T17:00:00Z
Pb,23.37,47.6205,-112.4475,2025-05-24T04:49:00Z
Pb,42.14,-23.7506,66.5314,2025-11-25T03:48:00Z
Pb,32.69,76.6006,-14.6533,2025-10-31T22:38:00Z
As,13.04,-24.7154,54.7271,2025-03-10T16:07:00Z
Pb,43.95,44.6046,-150.6875,2025-10-13T17:18:00Z
Cd,2.26,29.3308,20.225,2025-02-13T05:02:00Z
As,4.68,-35.3963,-119.7292,2025-06-07T12:00:00Z
Cd,2.16,6.839,56.6482,2025-06-02T02:43:00Z
Hg,8.28,-30.2064,93.3642,2025-01-13T00:56:00Z
Cr,27.31,-34.9039,118.4292,2025-11-20T21:16:00Z
Hg,9.38,46.5093,-132.8146,2025-05-08T19:33:00Z
Hg,6.58,-0.4455,-138.6635,2025-10-06T01:17:00Z
Hg,2.89,79.6441,-11.2557,2025-02-27T12:46:00Z
Cd,2.48,77.0911,-176.6965,2025-03-29T22:16:00Z
Cd,6.46,-22.6162,-10.7451,2025-12-04T14:01:00Z
Cd,9.42,-15.7846,-112.6888,2025-01-24T14:54:00Z
Cr,17.75,-61.4023,-31.6011,2025-07-28T11:24:00Z
Pb,15.8,-70.8433,69.041,2025-08-25T17:16:00Z
Cr,42.74,-11.3833,-13.3555,2025-02-24T00:11:00Z
Hg,8.99,57.7348,85.2049,2025-02-08T19:43:00Z
Cr,77.73,-16.8909,-138.0383,2025-08-23T03:25:00Z
Hg,9.65,-17.0809,-156.907,2025-08-29T00:55:00Z
